Abundant,Abndt
Accent,Acnt
Admiral,Admrl
Adventure,Advntr
American,Amrcn
Animal,Anml
Autumn,Atmn
Ballerina,Bllnra
Balloon,Baln
Baroque,Brqe
Bear,Br
Beauty,Buty
Believe,Blve
Bethlehem,Bthlm
Birdhouse,Brdhs
Blackwork,BW
Blessed,Blsed
Blizzard,Blzrd
Bloom,Blm
Blooming,Blmg
Blossom,Blsm
Blossoming,Blosm
Bluebird,Blubrd
Bluework,BluW
Border,Brdr
Botanical,Btncl
Bountiful,Bntfl
Bouquet,Bqt
Bundled,Bndld
Butterfly,Btrfly
Cappuccino,Cpucno
Cardinal,Crdnl
Cardstock,CS
Carnival,Crnvl
Chamomile,Chmmle
Cheery,Chry
Cherished,Chrsd
Chickadee,Chkde
Chipmunk,Cpmk
Christmas,Xmas
Classic,Clsc
Clematis,Clmts
Clouded,Clded
Coaster,Cstr
Coffeehouse,Cofehse
Colorful,Clrfl
Corncockle,Crnckle
Corner,Crnr
Creature,Crtur
Cutwork,CW
Dashing,Dshng
Dazzling,Dzlng
Delicate,Dlcte
Delightful,Dltfl
Dinosaurs,Dnsrs
Double Run,DR
Dragonflies,Drgnfls
Dragonfly,Drgfl
Eggnog,Egng
Elephant,Ele
Embossed,EM
Enchanted,Echnt
Etching,Etch
Exquisite,Exqst
Extravagance,Extrvgnc
Fantastic,Fntstc
Farmhouse,Frmhse
Fashioned,Fshnd
Feature,Ftre
Festive,Fstv
Filigree,Flgre
Fishing,Fshng
Flower,Flwr
Forget-Me-Not,FMN
Fractal,Frctl
Free-Flying,FF
Friday,Fri
Friend,Frnd
Garden,Grdn
Geometric,Gmtrc
Gingerbread,Gngbrd
Gnome,Gnm
Goldfinch,Gldfnh
Goldfish,Gldfsh
Goldwork,GW
Halloween,Halwen
Handwarmer,Hndwrmr
Happen,Hapn
Happiness,Hapnes
Harvest,Hvst
Heirloom,Hrlm
Helper,Hlpr
Holiday,Hldy
Homemade,Hmde
Hummingbird,Hmgbrd
Impossible,Impsbl
Intricate,Intrct
Ironwork,Irnwrk
Jacobean,Jbean
Japanese,Jpnse
Jingle,Jngl
Joyful,Jyfl
Kaleidoscope,Kldscpe
Leather,Lthr
Lightening,Lghtng
Lighthouse,Lthse
Machine,Mchn
Madagascan,Mdgscn
Magical,Mgcl
Magnolia,Mgnla
Majestic,Mjstc
Mandala,Mndla
Market,Mrkt
Marvelous,Mrvls
Meadow,Mdw
Measurement,Msrmnt
Medallion,Mdln
Merry,Mry
Mistletoe,Mslto
Monarch,Mnrh
Monday,Mon
Moroccan,Mrcn
Northwoods,Nrthwds
Not-So-Spooky,Not Spooky
Nouveau,Nvu
Nutcracker,Ntcrkr
On-the-Go,OtG
Organza,O
Ornament,Ornie
Outside,Otsde
Paisley,Psly
Paradise,Prdse
Patchwork,Ptwrk
Peacock,Pck
Peppermint,Ppmt
Pillow,Plw
Pinwheel,Pnwhl
Playful,Plyfl
Plentiful,Plntfl
Poinsettia,Pnsta
Prancing,Prnsng
Puff Foam,PF
Pumpkin,Pmpkn
Purple,Prpl
Quilt,Qlt
Quilting,Qltng
Raidiant,Rdnt
Rainbow,Rnbw
Rainforest,Rnfrst
Redwork,RW
Reindeer,Rndr
Rosemaling,Rosmlng
Rudolph,Rdlph
Sashiko,Shko
Saturday,Sat
Scene,Scn
Schematic,Scmtc
Seafood,Sefd
Sharon,Shrn
Skating,Sktng
Snowflake,Snflk
Snowglobe,Snwglb
Snowman,Snwmn
Songbird,Sngbrd
Southwestern,Swtrn
Splendor,Splndr
Spotted,Sptd
Square,Sq
Stained,Stnd
Starfish,Strfs
Sunday,Sun
Sunflower,Snflwr
Swallowtail,Swaltail
Sweet,Swt
Teacup,Tcup
Thick Thread,TT
Thursday,Thu
Top of the Line -,TOL
Topiary,Tpry
Topper,Tpr
Trapunto,Tpnto
Tuesday,Tue
Umbrella,Umbrla
Victorian,Vctrn
Vintage,V
Watercolor,Wtrclr
Wednesday,Wed
Whimsical,Whmscl
Whitework,WW
Wildflower,Wldfwr
Window,Wndw
Winter,Wntr
Wintertide,Wntrtd
Wonderland,Wdrlnd
Woodland,Wlnd
Yultide,Yltde
Captivating,Cptvtng
Daffodil,Dafdl
Perfect,Prfct
Honey,Hny
